zip_code,has_tj,tj_probability,rank
93552,0,0.0877,1032
95684,0,0.0875,1033
96073,0,0.0872,1034
94516,0,0.0865,1035
95681,0,0.0864,1036
95307,0,0.0862,1037
96074,0,0.0861,1038
92676,0,0.0857,1039
92382,0,0.0854,1040
92311,0,0.0852,1041
92335,0,0.085,1042
95451,0,0.0849,1043
93614,0,0.0848,1044
95633,0,0.0842,1045
92397,0,0.0838,1046
94037,0,0.0838,1047
95318,0,0.0837,1048
93581,0,0.0836,1049
90606,0,0.0835,1050
93451,0,0.0833,1051
95425,0,0.083,1052
91744,0,0.0826,1053
93531,0,0.0826,1054
95728,0,0.0824,1055
94923,0,0.0824,1056
96128,0,0.0819,1057
95320,0,0.0818,1058
95363,0,0.0814,1059
95524,0,0.0813,1060
90280,0,0.0809,1061
95668,0,0.0806,1062
92359,0,0.0804,1063
95965,0,0.0801,1064
95690,0,0.0794,1065
95540,0,0.0794,1066
91962,0,0.0789,1067
93430,0,0.0788,1068
93635,0,0.0784,1069
95206,0,0.0781,1070
96148,0,0.078,1071
95471,0,0.0779,1072
93667,0,0.0773,1073
92509,0,0.0764,1074
95247,0,0.0763,1075
93452,0,0.0763,1076
95490,0,0.0762,1077
93407,0,0.0762,1078
95692,0,0.0761,1079
95367,0,0.0753,1080
93631,0,0.0752,1081
96108,0,0.075,1082
95412,0,0.0749,1083
95722,0,0.0745,1084
95497,0,0.0742,1085
92086,0,0.0742,1086
95227,0,0.0741,1087
93636,0,0.0739,1088
95563,0,0.0729,1089
92325,0,0.072,1090
95938,0,0.0717,1091
92536,0,0.0717,1092
95614,0,0.0714,1093
93553,0,0.0704,1094
92583,0,0.0697,1095
95435,0,0.0696,1096
90220,0,0.0693,1097
92055,0,0.0692,1098
95631,0,0.0686,1099
95650,0,0.0684,1100
96029,0,0.0682,1101
92571,0,0.0682,1102
95673,0,0.0681,1103
92551,0,0.068,1104
95358,0,0.0677,1105
92707,0,0.0676,1106
91980,0,0.0672,1107
96117,0,0.0671,1108
90716,0,0.0669,1109
96133,0,0.0669,1110
95642,0,0.0668,1111
94621,0,0.0668,1112
95549,0,0.0667,1113
90201,0,0.0666,1114
93461,0,0.0665,1115
95236,0,0.0663,1116
95445,0,0.0661,1117
96143,0,0.0658,1118
96033,0,0.0653,1119
95713,0,0.0653,1120
92590,0,0.0652,1121
92662,0,0.0646,1122
93675,0,0.0645,1123
93510,0,0.0642,1124
96022,0,0.0641,1125
95977,0,0.0638,1126
95646,0,0.0633,1127
95554,0,0.0632,1128
93066,0,0.063,1129
92701,0,0.0628,1130
94613,0,0.0624,1131
95004,0,0.0623,1132
90744,0,0.0622,1133
92339,0,0.0619,1134
92082,0,0.0611,1135
95658,0,0.061,1136
95832,0,0.0609,1137
92386,0,0.0602,1138
93441,0,0.0599,1139
92239,0,0.0599,1140
95326,0,0.0597,1141
96115,0,0.0595,1142
95372,0,0.0595,1143
93517,0,0.0591,1144
92136,0,0.059,1145
96037,0,0.0586,1146
92322,0,0.0582,1147
93307,0,0.0579,1148
95918,0,0.0578,1149
91733,0,0.0577,1150
92352,0,0.0573,1151
95694,0,0.0573,1152
93222,0,0.0572,1153
96008,0,0.0569,1154
95444,0,0.0566,1155
